arduino_timestamp,elapsed_time,capacitive_value
15320,16.22,10
15340,16.25,12
15360,16.27,12
15380,16.29,15
15400,16.3,10
15420,16.33,13
15440,16.34,13
15460,16.37,12
15480,16.39,12
15500,16.41,13
15520,16.43,14
15540,16.44,11
15560,16.47,16
15580,16.49,15
15600,16.51,12
15620,16.53,13
15640,16.55,14
15660,16.57,13
15680,16.59,13
15700,16.61,15
15720,16.63,13
15740,16.65,10
15760,16.67,12
15780,16.69,13
15800,16.71,12
15820,16.73,13
15840,16.75,5
15860,16.77,12
15880,16.79,11
15900,16.8,12
15920,16.83,12
15940,16.85,11
15960,16.87,13
15980,16.89,11
16000,16.91,13
16020,16.93,14
